t,i,abv,name,x,sf,se,sm,self_sufficiency,total,imports
2022,18,CON,Construction,277551.8921640552,276894.84860170574,9086.852198590661,8429.808636241185,1.0023728991913987,1.0328169781578762,0.030444078966477585
2022,19,MTV,Sale and repair of motor vehicles and motorcycles; retail sale of fuel,37307.82171556348,38208.962220760855,7129.029375770597,8030.169880967972,0.9764154676593717,1.1865800315271853,0.2101645638678136
2022,20,WST,"Wholesale trade, except of motor vehicles and motorcycles",315685.8472469976,312331.18256559485,78220.42436418812,74865.75968278534,1.0107407292920494,1.2504406499589917,0.23969992066694226
2022,21,RTR,"Retail trade and repair, except of motor vehicles and motorcycles",174633.12773838712,177274.97297131928,29852.060390961364,32493.905623893435,0.9850974720872778,1.1683941048790403,0.18329663279176195
2022,22,HRS,Hotels and restaurants,45495.055246150056,46029.20508754791,3727.543927248064,4261.693768645897,0.9883954145985815,1.0809821486197349,0.09258673402115292
2022,23,ITR,Inland transport,185519.57463206875,153137.69195533806,60076.320858713,27694.438181982263,1.2114559927295674,1.3923026401379617,0.1808466474083939
2022,24,WTR,Water transport,5975.767074917269,3855.834689722738,5749.829826531232,3629.897441336701,1.5497985665321585,2.491202369711728,0.9414038031795695
2022,25,ATR,Air transport,24520.006246117362,19583.331987746325,9000.112102820045,4063.4378444489944,1.252085511365482,1.4595802240625646,0.20749471269708172
2022,26,OTR,Other supporting transport activities,93997.55949473838,84851.95200757489,22177.23356038648,13031.626073222978,1.1077831124774484,1.261363858292932,0.15358074581548367
2022,27,TEL,Post and telecommunications,45036.56941546233,43677.130198225794,7722.780713299369,6363.341496062843,1.0311247376159287,1.176815204621962,0.14569046700603347
2022,28,FIN,Financial intermediation,149108.89761214185,142676.58998661698,21907.807844022514,15475.500218497653,1.045083132601699,1.1535487205439763,0.10846558794227736
2022,29,REA,Real estate activities,315474.56499898573,310137.57295187784,20237.006796251822,14900.014749143847,1.0172084665405439,1.0652517094386105,0.04804324289806638
2022,30,OBA,Renting of machinery & equipment and other business activities,309826.8692605504,302505.7299155707,61185.352973601905,53864.213628622194,1.0242016551125264,1.2022617984481772,0.17806014333565082
2022,31,PAD,Public administration and defence; compulsory social security,219847.80739367878,207487.28688659662,25221.614264094176,12861.093757011971,1.0595724234123216,1.121557395841217,0.06198497242889526
2022,32,EDU,Education,91761.42409693002,91492.64425181075,1389.2539944930536,1120.4741493737727,1.0029377208115169,1.0151843244432794,0.01224660363176242
2022,33,HSW,Health and social work,125394.9977056035,124960.38214910947,1177.6623047186742,743.0467482246561,1.0034780267875254,1.0094242853972184,0.005946258609692891
2022,34,OSV,"Other community, social and personal services",96506.4222402572,93956.72061312849,8682.191295656703,6132.489668527996,1.0271369797763295,1.0924062827970131,0.06526930302068364
2022,35,PHE,Private households with employed persons,5993.251055236368,5976.039564378734,21.319317149236557,4.107826291602527,1.0028800831507587,1.0035674658642346,0.0006873827134759899
